weatherstn,ALARM_DATE,obs,obs_value,Fire station name,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_,fire_occurred
US1CALK0018,2021-07-30,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,4.771153,31877.6875,1058.486029,2021.0,1
US1CALK0018,2021-07-03,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,5.558945,37438.71094,787.935723,2021.0,1
US1CALK0018,2021-07-07,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,6.612106,43608.45313,1151.747327,2021.0,1
US1CALK0018,2021-07-09,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.90975,12644.34375,467.6411589,2021.0,1
US1CALK0018,2021-07-18,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,2.714847,17912.99609,595.9980963,2021.0,1
US1CALK0018,2021-07-20,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,29.98372,197580.6758,2232.545408,2021.0,1
US1CALK0018,2021-07-30,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,4.771153,31877.6875,1058.486029,2021.0,1
US1CALK0018,2021-08-01,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,3.695564,24640.68359,937.8176019,2021.0,1
US1CALK0018,2021-08-02,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.37785,9251.789063,417.9256317,2021.0,1
US1CALK0018,2021-08-03,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,10.85849,72149.05859,1196.395819,2021.0,1
